Company,TypeName,Inches,Price,Ram(GB),Weight(kg),Cpu(processor),"Gpu(I,N,A)Brand",SSD,HDD,X_res,Y_res,TouchScreen,Ips_display,OS,PPI,Resolution
Acer,Notebook,15.6,10.087028365734811,4,2.1,AMD,AMD,256,0,1366,768,0,0,Windows,100.45466986113652,1366x768
HP,Notebook,15.6,9.532389087931673,4,1.86,Intel Celeron,Intel,0,500,1366,768,0,0,Other,100.45466986113652,1366x768
HP,Notebook,14.0,10.675061366393813,8,1.63,Intel Core i5,Intel,0,1000,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Asus,Notebook,14.0,9.603146168052769,4,1.65,AMD,AMD,64,0,1366,768,0,0,Windows,111.93520355955212,1366x768
Dell,Notebook,17.3,11.216927309554451,16,2.8,Intel Core i7,AMD,256,2000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
HP,Notebook,17.3,10.808592759018332,8,2.5,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Dell,Notebook,15.6,10.435449831034946,8,2.36,Intel Core i5,AMD,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
Dell,Notebook,15.6,10.082583913974387,4,2.2,Intel Core i3,AMD,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Acer,Ultrabook,14.0,10.760018088869778,8,1.6,Intel Core i7,Intel,256,0,1920,1080,0,1,Windows,157.3505121487356,1920x1080
Acer,Notebook,15.6,10.324700017611931,4,2.2,Intel Core i3,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Notebook,15.6,10.369151780182763,8,2.05,Intel Core i7,Intel,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
HP,Notebook,14.0,10.87124372398,8,1.63,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Lenovo,Notebook,15.6,9.506417665734745,4,1.9,Intel Celeron,Intel,0,1000,1366,768,0,0,Other,100.45466986113652,1366x768
Asus,Gaming,17.3,10.81931097523836,8,3.0,Intel Core i5,Nvidia,128,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Lenovo,Notebook,15.6,10.188167121983652,4,2.2,Intel Core i5,Nvidia,0,1000,1920,1080,0,0,Other,141.21199808219862,1920x1080
HP,Notebook,13.3,10.525211768465944,4,1.32,Intel Core i5,Intel,256,0,1920,1080,0,1,Windows,165.6321180513006,1920x1080
Acer,Notebook,17.3,10.460196261867386,4,3.0,Intel Core i3,Nvidia,0,1000,1920,1080,0,1,Windows,127.33567457123112,1920x1080
